#t Vm Li6 Li7 Q A delta7 Li
1435 -9.10570158899439 1.12538328085369 13.6982183781366 131.037958449514 20 12.7169170443093 14.8236016589903
1440 -9.13441536749088 1.1273607086631 13.7223453668002 131.006406181908 20 12.7211712291773 14.8497060754633
1445 -9.1631223422456 1.12933592703043 13.7464453984919 130.974884371587 20 12.7254058518058 14.8757813255223
1450 -9.1918214934049 1.13130895300299 13.7705186804716 130.943392987739 20 12.7296210216059 14.9018276334746
1455 -9.22051182633292 1.13327980331941 13.7945654162545 130.911931998823 20 12.7338168476123 14.9278452195739
1460 -9.24919237107996 1.13524849441582 13.8185858056848 130.880501372587 20 12.7379934384784 14.9538343001006
1465 -9.27786218186147 1.13721504243179 13.8425800450079 130.849101076088 20 12.7421509024679 14.9797950874397
1470 -9.30652033654739 1.13917946321618 13.8665483269421 130.817731075715 20 12.7462893474486 15.0057277901583
1475 -9.33516593616158 1.1411417723329 13.8904908407476 130.786391337205 20 12.7504088808874 15.0316326130805
1480 -9.36379810439132 1.14310198506654 13.9144077722953 130.755081825667 20 12.7545096098414 15.0575097573618
1485 -9.39241598710655 1.1450601164279 13.9382993041335 130.723802505594 20 12.7585916409552 15.0833594205614
1490 -9.42101875188871 1.14701618115944 13.9621656155538 130.692553340887 20 12.7626550804529 15.1091817967133
1495 -9.44960558756898 1.14897019374051 13.9860068826557 130.66133429487 20 12.7667000341343 15.1349770763962
1500 -9.47817570377584 1.15092216839267 14.0098232784093 130.630145330307 20 12.7707266073684 15.160745446802
1505 -9.50672833049159 1.15287211908472 14.0336149727178 130.598986409422 20 12.77473490509 15.1864870918025
1510 -9.53526271761784 1.15482005953774 14.057382132478 130.567857493912 20 12.7787250317937 15.2122021920157
1515 -9.56377813454969 1.15676600323001 14.0811249216399 130.536758544968 20 12.7826970915306 15.2378909248699
1520 -9.59227386975847 1.15870996340183 14.1048435012653 130.505689523284 20 12.7866511879025 15.2635534646671
1525 -9.62074923038291 1.16065195306022 14.1285380295849 130.474650389079 20 12.7905874240588 15.2891899826451
1530 -9.64920354182848 1.16259198498357 14.1522086620544 130.44364110211 20 12.7945059026933 15.314800647038
1535 -9.67763614737488 1.16453007172621 14.1758555514099 130.412661621685 20 12.7984067260387 15.3403856231361
1540 -9.70604640779139 1.16646622562279 14.1994788477218 130.38171190668 20 12.8022899958651 15.3659450733446
1545 -9.73443370096001 1.16840045879272 14.2230786984474 130.350791915553 20 12.8061558134747 15.3914791572401
1550 -9.76279742150627 1.17033278314442 14.2466552484834 130.319901606356 20 12.8100042797004 15.4169880316278
1555 -9.79113698043744 1.17226321037951 14.2702086402161 130.28904093675 20 12.8138354949017 15.4424718505957
1560 -9.8194518047881 1.17419175199694 14.2937390135722 130.258209864018 20 12.8176495589623 15.4679307655691
1565 -9.84774133727293 1.176118419297 14.3172465060667 130.227408345079 20 12.8214465712877 15.4933649253637
1570 -9.87600503594651 1.17804322338532 14.3407312528518 130.196636336497 20 12.8252266308022 15.5187744762371
1575 -9.90424237387003 1.1799661751767 14.3641933867632 130.165893794498 20 12.8289898359468 15.5441595619399
1580 -9.93245283878483 1.18188728539894 14.3876330383665 130.135180674979 20 12.8327362846781 15.5695203237655
1585 -9.96063593279257 1.18380656459654 14.4110503360027 130.10449693352 20 12.8364660744635 15.5948569005992
1590 -9.98879117204184 1.18572402313439 14.4344454058317 130.073842525398 20 12.840179302283 15.6201694289661
1595 -10.0169180864213 1.18763967120132 14.4578183718765 130.043217405595 20 12.8438760646239 15.6454580430778
1600 -10.045016219259 1.18955351881361 14.4811693560655 130.01262152881 20 12.8475564574824 15.6707228748791
1605 -10.0730851270279 1.19146557581846 14.504498478274 129.982054849471 20 12.8512205763598 15.6959640540925
1610 -10.1011243790573 1.19337585189733 14.5278058563655 129.951517321744 20 12.8548685162624 15.7211817082628
1615 -10.1291335572503 1.19528435656926 14.5510916062315 129.921008899544 20 12.8585003716999 15.7463759628007
1620 -10.1571122558072 1.19719109919411 14.5743558418308 129.890529536544 20 12.862116236684 15.7715469410249
1625 -10.185060080954 1.19909608897574 14.5975986752285 129.860079186186 20 12.8657162047288 15.7966947642042
1630 -10.2129766506772 1.20099933496512 14.620820216633 129.829657801689 20 12.869300368848 15.8218195515981
